source_file,match_id,round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,3,Triad,attack,31150,9850,21300,2,1,10,6,4,4,3,1,2,1,1,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,4,Triad,attack,31150,9850,21300,2,1,10,6,4,3,3,0,2,2,0,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,5,Triad,attack,31150,9850,21300,2,1,10,6,4,2,3,-1,2,3,-1,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,6,Triad,attack,31150,9850,21300,2,1,10,6,4,2,2,0,3,3,0,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,7,Triad,attack,31150,9850,21300,2,1,10,6,4,2,1,1,4,3,1,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,17,8,Triad,attack,31150,9850,21300,2,1,10,6,4,1,1,0,4,4,0,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,1,Triad,attack,26500,5200,21300,1,1,10,7,3,5,4,1,1,0,1,0,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,2,Triad,attack,26500,5200,21300,1,1,10,7,3,4,4,0,1,1,0,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,3,Triad,attack,26500,5200,21300,1,1,10,7,3,3,4,-1,1,2,-1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,4,Triad,attack,26500,5200,21300,1,1,10,7,3,3,3,0,2,2,0,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,5,Triad,attack,26500,5200,21300,1,1,10,7,3,3,2,1,3,2,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,6,Triad,attack,26500,5200,21300,1,1,10,7,3,2,2,0,3,3,0,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,7,Triad,attack,26500,5200,21300,1,1,10,7,3,2,1,1,4,3,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,8,Triad,attack,26500,5200,21300,1,1,10,7,3,2,0,2,5,3,2,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,9,Triad,attack,26500,5200,21300,1,1,10,7,3,1,0,1,5,4,1,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,18,10,Triad,attack,26500,5200,21300,1,1,10,7,3,1,0,1,6,4,2,1,enemies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,1,Triad,attack,24000,6300,17700,0,2,11,7,4,4,5,-1,0,1,-1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,2,Triad,attack,24000,6300,17700,0,2,11,7,4,3,5,-2,0,2,-2,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,3,Triad,attack,24000,6300,17700,0,2,11,7,4,3,4,-1,1,2,-1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,4,Triad,attack,24000,6300,17700,0,2,11,7,4,3,3,0,2,2,0,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,5,Triad,attack,24000,6300,17700,0,2,11,7,4,2,3,-1,2,3,-1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,6,Triad,attack,24000,6300,17700,0,2,11,7,4,2,2,0,3,3,0,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,7,Triad,attack,24000,6300,17700,0,2,11,7,4,1,2,-1,3,4,-1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,8,Triad,attack,24000,6300,17700,0,2,11,7,4,1,1,0,4,4,0,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,19,9,Triad,attack,24000,6300,17700,0,2,11,7,4,1,0,1,5,4,1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,1,Triad,attack,26250,4550,21700,1,1,12,7,5,5,4,1,1,0,1,0,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,2,Triad,attack,26250,4550,21700,1,1,12,7,5,5,3,2,2,0,2,1,allies
match2.json,f1ae6f1f-9a5b-4be0-a26b-73a6aa50c1ee,20,3,Triad,attack,26250,4550,21700,1,1,12,7,5,5,2,3,3,0,3,1,allies
