round_number,kill_index,map,local_team_side,att_money,def_money,economy_diff,att_ults_ready,def_ults_ready,score_won,score_lost,score_diff,att_alive,def_alive,alive_diff,att_kills,def_kills,kill_diff,spike_planted,winner,att_full_buy,def_full_buy,att_eco,def_eco,ult_adv,alive_ratio,kill_progress
15,6,1,1,18650,10150,8500,0,0,9,5,4,1,3,-2,2,4,-2,0,1,0,0,0,0,0,0.25,0.6
15,7,1,1,18650,10150,8500,0,0,9,5,4,1,2,-1,3,4,-1,0,1,0,0,0,0,0,0.3333333333333333,0.7
15,8,1,1,18650,10150,8500,0,0,9,5,4,0,2,-2,3,5,-2,0,1,0,0,0,0,0,0.0,0.8
16,1,1,1,21150,14200,6950,1,0,9,6,3,4,5,-1,0,1,-1,0,0,1,0,0,0,1,0.4444444444444444,0.1
16,2,1,1,21150,14200,6950,1,0,9,6,3,4,4,0,1,1,0,1,0,1,0,0,0,1,0.5,0.2
16,3,1,1,21150,14200,6950,1,0,9,6,3,4,3,1,2,1,1,1,0,1,0,0,0,1,0.5714285714285714,0.3
16,4,1,1,21150,14200,6950,1,0,9,6,3,3,3,0,2,2,0,1,0,1,0,0,0,1,0.5,0.4
16,5,1,1,21150,14200,6950,1,0,9,6,3,2,3,-1,2,3,-1,1,0,1,0,0,0,1,0.4,0.5
16,6,1,1,21150,14200,6950,1,0,9,6,3,2,2,0,3,3,0,1,0,1,0,0,0,1,0.5,0.6
16,7,1,1,21150,14200,6950,1,0,9,6,3,1,2,-1,3,4,-1,1,0,1,0,0,0,1,0.3333333333333333,0.7
16,8,1,1,21150,14200,6950,1,0,9,6,3,0,2,-2,3,5,-2,1,0,1,0,0,0,1,0.0,0.8
16,9,1,1,21150,14200,6950,1,0,9,6,3,0,1,-1,4,5,-1,1,0,1,0,0,0,1,0.0,0.9
17,1,1,1,13050,16450,-3400,0,1,9,7,2,4,5,-1,0,1,-1,0,0,0,0,0,0,-1,0.4444444444444444,0.1
17,2,1,1,13050,16450,-3400,0,1,9,7,2,4,4,0,1,1,0,1,0,0,0,0,0,-1,0.5,0.2
17,3,1,1,13050,16450,-3400,0,1,9,7,2,4,3,1,2,1,1,1,0,0,0,0,0,-1,0.5714285714285714,0.3
17,4,1,1,13050,16450,-3400,0,1,9,7,2,3,3,0,2,2,0,1,0,0,0,0,0,-1,0.5,0.4
17,5,1,1,13050,16450,-3400,0,1,9,7,2,3,2,1,3,2,1,1,0,0,0,0,0,-1,0.6,0.5
